orderNo,customerID,firstName,lastName,gender,income,education,occupation,productCost,saleAmount,item,itemCategory,saleCountry,Profit,Region
SO43821,27663,Aaron,Collins,M,170000,Graduate Degree,Management,2171.2942,3578.27,"Road-150 Red, 62",Components,United States,1406.9758,North America
SO44639,14617,Aaron,Flores,M,60000,Bachelors,Professional,413.1463,699.0982,"Road-650 Red, 52",Components,United States,285.9519,North America
SO46162,12163,Aaron,Wang,M,150000,Bachelors,Management,2171.2942,3578.27,"Road-150 Red, 52",Components,United States,1406.9758,North America
SO46213,12050,Aaron,Young,M,110000,Graduate Degree,Management,2171.2942,3578.27,"Road-150 Red, 56",Components,United States,1406.9758,North America
SO46413,20075,Aaron,Allen,M,10000,High School,Manual,1912.1544,3399.99,"Mountain-100 Silver, 44",Bikes,Canada,1487.8356,North America
SO48636,15429,Aaron,Li,M,70000,Partial College,Skilled Manual,486.7066,782.99,"Road-650 Red, 62",Components,United States,296.2834,North America
SO48679,26608,Aaron,Nelson,M,60000,Graduate Degree,Professional,1117.8559,2071.4196,"Mountain-200 Silver, 38",Bikes,United States,953.5637,North America
SO48933,26694,Aaron,Hughes,M,80000,Partial College,Professional,1105.81,2049.0982,"Mountain-200 Black, 46",Bikes,United States,943.2882,North America
SO49797,15568,Aaron,Hayes,M,80000,Partial College,Skilled Manual,486.7066,782.99,"Road-650 Red, 48",Components,United States,296.2834,North America
SO50363,27263,Aaron,Kumar,M,60000,Graduate Degree,Professional,1105.81,2049.0982,"Mountain-200 Black, 38",Bikes,United States,943.2882,North America
SO51443,11739,Aaron,King,M,70000,Graduate Degree,Professional,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,Canada,1054.3705,North America
SO52360,12050,Aaron,Young,M,110000,Graduate Degree,Management,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,United States,1054.3705,North America
SO53859,12163,Aaron,Wang,M,150000,Bachelors,Management,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
SO54648,11888,Aaron,Ross,M,60000,Bachelors,Professional,1265.6195,2319.99,"Mountain-200 Silver, 42",Bikes,Canada,1054.3705,North America
SO56329,11739,Aaron,King,M,70000,Graduate Degree,Professional,1481.9379,2384.07,"Touring-1000 Blue, 60",Clothing,Canada,902.1321,North America
SO56477,22768,Aaron,Zhang,M,60000,Bachelors,Management,343.6496,539.99,"Road-750 Black, 52",Components,United States,196.3404,North America
SO59968,25415,Aaron,Evans,M,70000,Graduate Degree,Professional,1481.9379,2384.07,"Touring-1000 Blue, 54",Clothing,United States,902.1321,North America
SO60694,19113,Aaron,Patterson,M,50000,Bachelors,Skilled Manual,713.0798,1120.49,"Road-550-W Yellow, 40",Components,Canada,407.4102,North America
SO60750,26608,Aaron,Nelson,M,60000,Graduate Degree,Professional,461.4448,742.35,"Touring-3000 Yellow, 50",Clothing,United States,280.9052,North America
SO61714,15566,Aaron,Foster,M,70000,Graduate Degree,Professional,1251.9813,2294.99,"Mountain-200 Black, 38",Bikes,Canada,1043.0087,North America
SO62066,14617,Aaron,Flores,M,60000,Bachelors,Professional,419.7784,769.49,"Mountain-400-W Silver, 40",Bikes,United States,349.7116,North America
SO62510,16751,Aaron,Scott,M,60000,Partial College,Skilled Manual,1554.9479,2443.35,"Road-250 Black, 44",Components,United States,888.4021,North America
SO63403,15429,Aaron,Li,M,70000,Partial College,Skilled Manual,1265.6195,2319.99,"Mountain-200 Silver, 38",Bikes,United States,1054.3705,North America
